model_id,policy,seed,round,hv,igd
i01o_m1,random,12,20,0.8468623765776677,0.05794192099992727
i01o_m1,random,13,1,0.8318387303901152,0.0705827383917781
i01o_m1,random,13,2,0.8320483279695633,0.0705827383917781
i01o_m1,random,13,3,0.8320483279695633,0.0705827383917781
i01o_m1,random,13,4,0.8320483279695633,0.0705827383917781
i01o_m1,random,13,5,0.8320483279695633,0.0705827383917781
i01o_m1,random,13,6,0.8442394709363035,0.059400977427360425
i01o_m1,random,13,7,0.8503830926471639,0.05336622981182101
i01o_m1,random,13,8,0.8503830926471639,0.05336622981182101
i01o_m1,random,13,9,0.8509912414496259,0.05336622981182101
i01o_m1,random,13,10,0.8509912414496259,0.05336622981182101
i01o_m1,random,13,11,0.8509912414496259,0.05336622981182101
i01o_m1,random,13,12,0.8509912414496259,0.05336622981182101
i01o_m1,random,13,13,0.8509912414496259,0.05336622981182101
i01o_m1,random,13,14,0.8509912414496259,0.05336622981182101
i01o_m1,random,13,15,0.9005240073155082,0.033408532764526405
i01o_m1,random,13,16,0.9005240073155082,0.033408532764526405
i01o_m1,random,13,17,0.9005240073155082,0.033408532764526405
i01o_m1,random,13,18,0.9005240073155082,0.033408532764526405
i01o_m1,random,13,19,0.9005240073155082,0.033408532764526405
i01o_m1,random,13,20,0.9005240073155082,0.033408532764526405
