model_id,policy,seed,valid_trials,invalid_trials,valid_rate,hv_auc,hv_final,igd_auc,igd_final,hv_5,hv_10,hv_20,wall_seconds,mesh_invalid,mesh_failure
i04o_m4,random,12,18,2,0.9,0.8238771643889526,0.8640047838632238,0.10417606379924742,0.06397537784072115,0.793954384929909,0.8010225756309126,0.8640047838632238,134.76698449996184,2,0
i04o_m4,random,13,20,0,1.0,0.8704143491019264,0.8876857719915177,0.05883534760018844,0.04221156367023856,0.8549133638068438,0.8676138036824942,0.8876857719915177,136.5204628000647,0,0
i04o_m4,random_seed,11,20,0,1.0,0.8752045289511544,0.8892658648195587,0.05388078833041631,0.040055676713029495,0.8331133733018045,0.8892658648195587,0.8892658648195587,162.06184759997996,0,0
i04o_m4,random_seed,12,18,2,0.9,0.8417951508244673,0.8640300486358296,0.08623303537986668,0.06397537784072115,0.8273217054338899,0.8273217054338899,0.8640300486358296,155.22547019999183,2,0
i04o_m4,random_seed,13,20,0,1.0,0.8638812449235946,0.8876857719915177,0.06554635803491637,0.04221156367023856,0.8273217054338899,0.8676138036824942,0.8876857719915177,158.48175659998378,0,0
i05o_m5,parego,11,20,0,1.0,0.8913721523456659,0.931360516719857,0.03746007761442063,0.006003352190076409,0.8307804232601985,0.9116369234139408,0.931360516719857,88.2243869000522,0,0
i05o_m5,parego,12,20,0,1.0,0.8801714407712238,0.9155536255342654,0.047520629609802356,0.02142606782064498,0.8211080764170776,0.9153557803788395,0.9155536255342654,83.66547450001235,0,0
i05o_m5,parego,13,20,0,1.0,0.8602903551476878,0.9113994149700316,0.05818597557225597,0.015617917519613828,0.8480538139318349,0.8535669542363831,0.9113994149700316,85.7109150999604,0,0
i05o_m5,parego_seed,11,20,0,1.0,0.8754710088126928,0.9218335811221348,0.04759276075703419,0.008813548050811987,0.8314491259673831,0.8691317955117894,0.9218335811221348,87.35214279998036,0,0
i05o_m5,parego_seed,12,20,0,1.0,0.8799026634887931,0.9281095123824448,0.04246127660467935,0.0020865076842668654,0.8310093419364228,0.8657823562418676,0.9281095123824448,85.94073110001045,0,0
i05o_m5,parego_seed,13,20,0,1.0,0.890600171315605,0.9316385172812142,0.03460190403392568,0.001514180912265917,0.8310780934618255,0.8884737771633443,0.9316385172812142,88.36683759998414,0,0
i05o_m5,qlogehvi_mixed,11,20,0,1.0,0.881452645325476,0.9311095473430476,0.04763038595217212,0.012891966704756662,0.8284589349034739,0.9214150983384664,0.9311095473430476,84.29582839999057,0,0
